code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
2Coption,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/.github/ISSUE_TEMPLATE/bug_report.md#L32
3A,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/.github/ISSUE_TEMPLATE/bug_report.md#L34
ANY,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L12
AS,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L11
BASIS,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L11
CONDITIONS,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L12
GCP,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L15
GWM,repo,README.md,3,3,3,3,3,3,3,3,3,3,4,4,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/gwm_create_service_account.py#L15
GWMME,repo,README.md,3,3,3,3,3,3,3,3,3,3,4,4,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/gwmme_create_service_account.py#L15
IS,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L11
KIND,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L12
LICENSE,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L8
LLC,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L2
OF,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L12
OR,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L12
WARRANTIES,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L12
WITHOUT,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/README.md,https://github.com/google/create-service-account/blob/fc33afbeab6cdee58730f2783f33e6d9ad707575/password_sync_create_service_account.py#L12
