code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,doc_link,source_link
HTMLElement,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,65,65,65,65,65,65,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,67,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,57,57,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/accname/blob/51028ee3726aec6db4fda7a6ebf03368942eddd1/README.md,https://github.com/google/accname/blob/10fad3cd953f943b58d722c7eb656b3dc1ce995f/src/lib/wpt_test.ts#L11
NPM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/accname/blob/51028ee3726aec6db4fda7a6ebf03368942eddd1/README.md,https://github.com/google/accname/blob/10fad3cd953f943b58d722c7eb656b3dc1ce995f/CHANGELOG.md#L6
TR,repo,README.md,0,0,1,1,1,1,5,5,5,5,5,7,9,9,9,9,9,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,16,16,16,16,16,18,18,18,18,18,18,18,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/accname/blob/51028ee3726aec6db4fda7a6ebf03368942eddd1/README.md,https://github.com/google/accname/blob/10fad3cd953f943b58d722c7eb656b3dc1ce995f/validation/README.md#L2
TypeScript,repo,README.md,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/accname/blob/51028ee3726aec6db4fda7a6ebf03368942eddd1/README.md,https://github.com/google/accname/blob/10fad3cd953f943b58d722c7eb656b3dc1ce995f/package.json#L4
accname,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,19,21,21,21,21,21,21,23,23,24,28,29,29,29,29,30,30,31,31,32,32,41,43,48,58,58,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,58,58,58,58,58,58,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,https://github.com/google/accname/blob/51028ee3726aec6db4fda7a6ebf03368942eddd1/README.md,https://github.com/google/accname/blob/10fad3cd953f943b58d722c7eb656b3dc1ce995f/validation/src/static/wpt.html#L21
getAccessibleName,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/accname/blob/51028ee3726aec6db4fda7a6ebf03368942eddd1/README.md,https://github.com/google/accname/blob/10fad3cd953f943b58d722c7eb656b3dc1ce995f/validation/src/lib/compare.ts#L112
getAccessibleName(elem),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/accname/blob/51028ee3726aec6db4fda7a6ebf03368942eddd1/README.md,https://github.com/google/accname/blob/10fad3cd953f943b58d722c7eb656b3dc1ce995f/bundle.js#L976
