code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
64,repo,README.md,16,16,16,16,16,16,16,16,7,7,7,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/FindIdaSdk.cmake#L85
7.0,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/FindIdaSdk.cmake#L18
DCMAKE_BUILD_TYPE,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/.github/workflows/cmake.yml#L40
DIdaSdk_ROOT_DIR,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/.github/workflows/cmake.yml#L41
IDA,repo,README.md,25,25,25,25,29,29,29,29,27,28,28,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/idaidle.cc#L15
LLC,repo,README.md,-,-,-,4,4,4,4,4,4,4,4,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/idaidle.cc#L1
ON,repo,README.md,4,4,4,4,4,4,4,4,-,-,-,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/5f4dca9ec1c45fa5d91b2688612267959aa68f02/FindIdaSdk.cmake#L47
SDK,repo,README.md,8,8,8,8,8,8,8,8,7,8,8,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/FindIdaSdk.cmake#L18
UI,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/idaidle.cc#L135
plugins,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/README.md,https://github.com/google/idaidle/blob/50507ce3c6c001551752d4c4c0c422c28d02d9a4/FindIdaSdk.cmake#L191
