code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
Action,repo,README.md,-,44,44,44,44,44,44,44,44,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/test/store_test.dart#L26
Action<String>,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/test/action_test.dart#L23
Actions,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/example/lib/main.dart#L35
FluxComponent,repo,README.md,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/lib/src/store.dart#L33
NOT,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/test/store_test.dart#L86
ONLY,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/lib/src/store.dart#L27
README,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/CHANGELOG.md#L31
Random(),repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/example/lib/stores.dart#L47
Store,repo,README.md,-,66,67,67,67,67,67,67,67,67,67,67,67,67,65,65,66,66,66,66,66,66,66,66,66,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/test/store_test.dart#L24
StoreWatcher,repo,README.md,-,7,9,9,9,9,9,9,9,9,9,10,10,9,9,9,10,10,10,10,10,10,10,10,10,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/lib/src/store_watcher.dart#L25
UI,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/lib/src/store.dart#L34
backgroundColor,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/example/lib/main.dart#L154
example,repo,README.md,-,6,6,6,6,6,6,6,6,6,6,8,8,8,8,12,13,11,11,11,11,11,11,11,11,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/lib/src/store_watcher.dart#L127
flutter_flux,repo,README.md,0,6,7,7,7,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/pubspec.yaml#L2
package:flutter_flux,repo,README.md,-,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/test/store_test.dart#L18
package:rate_limit,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/ff415049fb53271e44efd4e4c07ebb830dff6934/test/store_test.dart#L21
rate_limit,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/ff415049fb53271e44efd4e4c07ebb830dff6934/test/store_test.dart#L21
trigger,repo,README.md,-,16,16,16,16,16,16,16,16,16,16,17,17,17,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/test/store_test.dart#L38
trigger(),repo,README.md,-,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/flutter_flux/blob/1e729710c4e7a6a7ad17bf59794be71d7a5cd58c/README.md,https://github.com/google/flutter_flux/blob/3072578fd3251b41234f4dd5123e1984751f3868/test/store_test.dart#L43
