code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,doc_link,source_link
ANY,repo,README.md,7,17,17,17,17,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,26,27,27,27,27,27,27,27,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,30,30,30,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L11
AS,repo,README.md,7,17,17,17,17,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,26,27,27,27,27,27,27,27,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,30,30,30,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L10
BASIS,repo,README.md,7,17,17,17,17,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,26,27,27,27,27,27,27,27,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,30,30,30,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L10
CONDITIONS,repo,README.md,9,19,19,19,19,27,27,27,27,27,27,28,28,28,28,28,28,28,27,27,27,27,28,29,29,29,29,29,29,29,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,32,32,32,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L11
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/src/components/Footer.js#L32
IS,repo,README.md,7,17,17,17,17,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,26,27,27,27,27,27,27,27,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,30,30,30,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L10
JS,repo,README.md,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/.eslintrc.yml#L1
KIND,repo,README.md,7,17,17,17,17,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,26,27,27,27,27,27,27,27,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,30,30,30,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L11
LICENSE,repo,README.md,6,16,16,16,16,24,24,24,24,24,24,25,25,25,25,25,25,25,24,24,24,24,25,26,26,26,26,26,26,26,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,29,29,29,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L7
OF,repo,README.md,8,18,18,18,18,26,26,26,26,26,26,27,27,27,27,27,27,27,26,26,26,26,27,28,28,28,28,28,28,28,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,31,31,31,https://github.com/google/stijl/blob/8dd1c1f77e56710c83763be761e0fbe5789f5602/README.md,https://github.com/google/stijl/blob/b874cf072a16b87c06dc85ee99d69f96c5ed846d/webpack.config.js#L11
