code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,doc_link,source_link
@google,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/views/dynamic.pug#L360
ANY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L12
AS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,10,10,10,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L11
BASIS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L11
CONDITIONS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L12
IS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,11,11,11,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/yarn.lock#L1
InSlides,repo,README.md,0,6,6,6,6,6,10,10,10,10,10,12,12,14,14,14,15,15,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/views/report.pug#L6
KIND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L12
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L8
OF,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L12
OR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,15,15,15,16,16,16,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/waterfall.js#L12
PageSpeed,repo,README.md,0,6,6,6,6,6,10,10,10,10,10,12,12,14,14,14,15,15,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/views/report.pug#L6
URL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,68,68,68,68,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,https://github.com/google/pagespeed-inslides/blob/2c313e8ecc780a9db1b393ce0f9ec6239eb04258/README.md,https://github.com/google/pagespeed-inslides/blob/de8648703f259dbbc779f252cac3c5042f8630dd/views/index.pug#L17
