code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,doc_link,source_link
--debug,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/f9d8dfad7a17d816f452b716f5200a829628e370/collector/testdata/container-21bef774fd5e.input.json#L5
-d,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/f9d8dfad7a17d816f452b716f5200a829628e370/install/master-setup.sh#L118
./cluster-insight,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/243cbcf215f2cdc8375de5935dd8a87369f802f5/install/cluster-insight-setup.sh#L27
./cluster-insight/install,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/c9c729daa80aa67d664c40df4c2e62c200c7edcc/install/cluster-insight-setup.sh#L27
/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/collector/utilities_test.py#L9
/cluster,repo,README.md,-,-,-,-,-,-,27,27,27,36,36,36,36,36,36,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,54,54,54,55,55,55,55,59,60,61,61,61,61,61,62,63,63,63,63,63,63,63,63,7,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/collector/static/home.html#L27
/cluster/resources,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/collector/static/home.html#L31
/debug,repo,README.md,-,-,-,-,-,-,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,6,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/collector/static/home.html#L43
/version,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,9,9,9,9,9,10,11,11,11,11,11,11,11,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/c9c729daa80aa67d664c40df4c2e62c200c7edcc/collector/static/home.html#L53
2015-07-01,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/c9c729daa80aa67d664c40df4c2e62c200c7edcc/install/cluster-insight-minion-controller.yaml#L34
5555:5555,repo,README.md,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/f9d8dfad7a17d816f452b716f5200a829628e370/install/master-setup.sh#L118
ALL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/f9d8dfad7a17d816f452b716f5200a829628e370/install/node-setup.sh#L33
API,repo,README.md,3,3,3,3,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,5,5,5,5,6,6,6,5,9,9,9,9,9,10,10,10,10,10,10,10,6,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/collector/kubernetes.py#L20
CLUSTER_INSIGHT_MODE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/f9d8dfad7a17d816f452b716f5200a829628e370/install/master-setup.sh#L118
DOCKER_OPTS,repo,README.md,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/41f7d7199e382633bb292fbe2fea860928d7df3f/install/node-setup.sh#L44
DOCKER_OPTS=,repo,README.md,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/68985e37d759b111fd3244f0769d41e5561f8a47/install/node-setup.sh#L43
"DOCKER_OPTS=""""",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/41f7d7199e382633bb292fbe2fea860928d7df3f/install/node-setup.sh#L43
DONE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,-,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/f9d8dfad7a17d816f452b716f5200a829628e370/install/node-setup.sh#L33
DOT,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/README.md,https://github.com/google/cluster-insight/blob/cd55ca2ef41faf21a4d51aa33d04f2312397acde/collector/static/home.html#L44
