code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
burn_in_epoch,repo,README.md,-,-,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/code/utils.py#L168
checkpoint_dir,repo,README.md,-,-,66,66,66,66,66,66,66,66,66,66,66,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L32
cifar_eval,repo,README.md,-,-,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L30
cifar_models,repo,README.md,-,-,180,180,180,180,180,180,180,180,180,180,180,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L27
cifar_train_mentornet,repo,README.md,-,-,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L98
code,repo,README.md,-,-,-,-,-,-,-,-,141,141,141,141,141,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/training_mentornet_command.sh#L16
commands/train_studentnet_inception.sh,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,code_element is a file name
commands/train_studentnet_resnet.sh,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,code_element is a file name
data_dir,repo,README.md,-,-,131,131,131,131,131,131,131,131,131,131,131,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L26
dataset_name,repo,README.md,-,-,132,132,132,132,132,140,140,140,140,140,140,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L25
device_id,repo,README.md,-,-,126,126,126,126,126,126,126,126,126,126,126,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L28
epoch_num,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/code/utils.py#L64
eval_dir,repo,README.md,-,-,65,65,65,65,65,65,65,65,65,65,65,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L33
eval_val,repo,README.md,-,-,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L33
example_dropout_rates,repo,README.md,-,-,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/code/utils.py#L167
focal_loss,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L203
focal_loss_mentornet,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L203
loss_p_precentile,repo,README.md,-,-,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L100
max_number_of_steps,repo,README.md,-,-,66,66,66,66,66,66,66,66,66,66,66,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L28
mentornet_dd,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L406
mentornet_models,repo,README.md,-,-,67,67,67,67,67,67,67,67,67,67,67,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/training_mentornet_command.sh#L19
mentornet_pd,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L305
mentornet_pd1_g_1,repo,README.md,-,-,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L305
mentornet_project,repo,README.md,-,-,1,1,1,0,0,0,0,0,0,0,0,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/3324000ee7e7d69b21dcf3f1535778a81ccaf600/TRAINING.md#L11
nofixed_epoch_after_burn_in,repo,README.md,-,-,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L101
self_paced,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L99
self_paced_mentornet,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L99
train_log_dir,repo,README.md,-,-,74,74,74,74,74,74,74,74,74,74,74,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L27
trained_mentornet_dir,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/code/cifar_train_mentornet.py#L76
