code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,doc_link,source_link
--verbose,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/tests/smoke_test.sh#L47
300MB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/guetzli/guetzli.cc#L211
CFLAGS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/guetzli_static.make#L22
JPEG,repo,README.md,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/third_party/butteraugli/jpeg.BUILD#L2
LDFLAGS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/guetzli_static.make#L27
PNG,repo,README.md,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/third_party/butteraugli/png.BUILD#L2
bin/Release/guetzli,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/tests/smoke_test.sh#L3
gflags,repo,README.md,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/4a18db37c9f0fe0fbc778678d074e80621540717/premake5.lua#L23
libpng,repo,README.md,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,24,24,24,16,16,16,16,16,16,16,16,16,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,41,42,42,42,42,42,42,42,42,42,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/third_party/butteraugli/png.BUILD#L2
make,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/guetzli/blob/bd414a0e6b2530cce2561cdce411d190ed69fd43/README.md,https://github.com/google/guetzli/blob/214f2bb42abf5a577c079d00add5d6cc470620d3/third_party/butteraugli/LICENSE#L76
