code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
BOOL,repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Source/MOLCertificate/MOLCertificate.m#L145
BUILD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,code_element is a file name
MOLCertificate,repo,README.md,70,70,71,70,70,70,74,74,74,74,74,74,74,74,79,79,79,60,60,60,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L17
NO,repo,README.md,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Source/MOLCertificate/MOLCertificate.m#L147
NSData,repo,README.md,-,-,-,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L22
NSDate,repo,README.md,-,-,-,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L91
NSString,repo,README.md,-,-,-,79,82,82,82,82,84,84,84,84,84,84,84,84,84,84,84,84,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L20
SecCertificateRef,repo,README.md,9,9,9,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Source/MOLCertificate/MOLCertificate.m#L31
US,repo,README.md,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L83
WORKSPACE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,code_element is a file name
YES,repo,README.md,-,-,-,36,36,36,36,36,36,36,45,45,45,57,57,57,57,3,3,3,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Source/MOLCertificate/MOLCertificate.m#L103
commonName,repo,README.md,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L80
countryName,repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L83
git_repository,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/WORKSPACE#L3
isEqual,repo,README.md,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Source/MOLCertificate/MOLCertificate.m#L145
"load(""@bazel_tools//tools/build_defs/repo:git.bzl"", ""git_repository"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/WORKSPACE#L1
objc_library,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/BUILD#L4
validFrom,repo,README.md,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/macops-molcertificate/blob/e98378023f5429dd05a3ac45b9ed78987619fcf3/README.md,https://github.com/google/macops-molcertificate/blob/34b37d6545b92b27bc905aea658a2e75e41940b0/Tests/MOLCertificateTest.m#L91
