code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
CSS,repo,README.md,0,0,0,0,0,0,0,0,2,4,4,4,4,4,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/download_script.sh#L23
CSSDataset,repo,README.md,0,0,0,0,0,0,0,0,5,5,5,5,5,5,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L44
CVPR,repo,README.md,0,0,0,0,0,0,0,0,2,2,2,2,2,2,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/img_text_composition_models.py#L175
LSTM,repo,README.md,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/text_model.py#L80
MITStates,repo,README.md,0,0,0,0,0,0,0,0,5,5,5,5,5,5,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L101
TIRG,repo,README.md,0,0,0,0,0,0,0,0,3,3,3,3,3,3,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L142
batch_based_classification,repo,README.md,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L239
checkpoint_css3d,repo,README.md,-,-,0,0,0,0,0,0,0,2,2,2,2,2,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/download_script.sh#L17
checkpoint_fashion200k,repo,README.md,-,-,0,0,0,0,0,0,0,2,2,2,2,2,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/download_script.sh#L18
checkpoint_mitstates,repo,README.md,-,-,0,0,0,0,0,0,0,2,2,2,2,2,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/download_script.sh#L19
dataset_path,repo,README.md,0,0,0,0,0,0,0,0,7,7,7,7,7,7,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L44
datasets.py,repo,README.md,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,code_element is a file name
image_retrieval_css,repo,README.md,-,-,0,0,0,0,0,0,0,5,5,5,5,5,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/download_script.sh#L17
img_text_composition_models.py,repo,README.md,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,code_element is a file name
learning_rate_decay_frequency,repo,README.md,0,0,0,0,0,0,0,0,3,3,3,3,3,3,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L49
main.py,repo,README.md,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,code_element is a file name
num_iters,repo,README.md,0,0,0,0,0,0,0,0,2,2,2,2,2,2,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L52
pretrained_models,repo,README.md,-,-,0,0,0,0,0,0,0,3,3,3,3,3,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/download_script.sh#L17
soft_triplet,repo,README.md,0,0,0,0,0,0,0,0,2,2,2,2,2,2,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/README.md,https://github.com/google/tirg/blob/c58daa066d8af1a5b3de1a0ef6d112519ddda611/main.py#L53
