code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
Install(),repo,README.md,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vim-glaive/blob/3b4e7f65bc9036dbc343a7d111a9ef7013be9612/README.md,https://github.com/google/vim-glaive/blob/c17bd478c1bc358dddf271a13a4a025efb30514d/autoload/glaive.vim#L11
Plugin,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vim-glaive/blob/3b4e7f65bc9036dbc343a7d111a9ef7013be9612/README.md,https://github.com/google/vim-glaive/blob/c17bd478c1bc358dddf271a13a4a025efb30514d/vroom/glaive.vroom#L25
\,repo,README.md,-,-,-,-,-,-,-,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/vim-glaive/blob/3b4e7f65bc9036dbc343a7d111a9ef7013be9612/README.md,https://github.com/google/vim-glaive/blob/c17bd478c1bc358dddf271a13a4a025efb30514d/vroom/strings.vroom#L37
glaive#Install(),repo,README.md,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vim-glaive/blob/3b4e7f65bc9036dbc343a7d111a9ef7013be9612/README.md,https://github.com/google/vim-glaive/blob/072d923a1967eadb3128fdb59252728973d83cf4/autoload/glaive.vim#L10
name,repo,README.md,-,-,-,-,-,-,-,14,14,14,27,27,32,32,33,33,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,-,-,-,-,-,-,https://github.com/google/vim-glaive/blob/3b4e7f65bc9036dbc343a7d111a9ef7013be9612/README.md,https://github.com/google/vim-glaive/blob/f0a44ceb6a6f90de1d56bfb60c2686b81f79672a/vroom/glaive.vroom#L67
plugin/,repo,README.md,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vim-glaive/blob/3b4e7f65bc9036dbc343a7d111a9ef7013be9612/README.md,https://github.com/google/vim-glaive/blob/072d923a1967eadb3128fdb59252728973d83cf4/vroom/glaive.vroom#L17
vroom/,repo,README.md,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vim-glaive/blob/3b4e7f65bc9036dbc343a7d111a9ef7013be9612/README.md,https://github.com/google/vim-glaive/blob/c17bd478c1bc358dddf271a13a4a025efb30514d/CONTRIBUTING.md#L41
