code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
BoringSSL,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/prng/chacha_prng_util.cc#L63
IS,repo,README.md,21,57,51,73,73,73,73,73,73,73,73,83,81,86,83,83,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/transcription_test.cc#L10
IdealHom,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/symmetric_encryption.h#L41
LWE,repo,README.md,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/symmetric_encryption.h#L38
NOT,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/symmetric_encryption.h#L186
NTT,repo,README.md,47,86,62,62,62,62,62,62,62,62,62,62,61,62,62,62,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/testing/coefficient_polynomial_ciphertext_test.cc#L439
PIR,repo,README.md,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/5534dfc87a44731f773cb7d99797f336a459be48/constants.h#L48
RLWE,repo,README.md,7,18,18,20,20,20,20,20,20,20,20,20,17,17,17,17,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/testing/testing_utils.h#L17
THIS,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/symmetric_encryption.h#L186
constants.h,repo,README.md,7,19,17,18,18,18,18,18,18,18,18,19,19,19,19,19,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/testing/testing_utils.h#L26
montgomery.h,repo,README.md,6,18,17,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/388d4d1ac027c41840564bf99dd88f0f6d05672c/testing/testing_utils.h#L10
ntt_polynomial.h,repo,README.md,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/43ee650da81439e2aafbb9f3d33cde92545024d1/symmetric_encryption_test.cc#L25
polynomial.h,repo,README.md,-,12,12,12,12,12,12,12,12,12,12,13,13,15,15,15,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/testing/testing_utils.h#L28
shell-encryption,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/serialization.proto#L20
symmetric_encryption.h,repo,README.md,3,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,https://github.com/google/shell-encryption/blob/9725bee00a098c37ae80e5888ee0206558a106c9/README.md,https://github.com/google/shell-encryption/blob/cd1721d1ee9e20be16954f8161b0dbc051af4399/shell_encryption/testing/testing_utils.h#L32
