code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,doc_link,source_link
IndexedDB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/test/indexed-db.js#L20
MIT,repo,README.md,1,1,1,1,1,1,1,1,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/8f34ccd830206e1ed223098f1da589224423fc17/package.json#L45
SyncPromise,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/src/index.js#L20
cursor.continue(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/test/object-store.js#L442
db.close(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/test/transaction.js#L48
indexedDBP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/src/index.js#L69
iterate((cursor),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/test/request.js#L56
run((tx),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/test/transaction.js#L39
then((),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/test/transaction.js#L118
then((count),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/indexed-db-as-promised/blob/5505b6760de5e7162900a1a01ecbb2e4d7b228fa/README.md,https://github.com/google/indexed-db-as-promised/blob/102371d0487622df80dbd8041a3d253ab596d106/test/transaction.js#L131
