code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
API,repo,README.md,4,4,4,4,4,4,4,4,4,4,-,-,-,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/3b66afc8160be5b68822a0f28286fd026d64d4a8/packet_queue/command.py#L26
IP,repo,README.md,0,0,0,0,1,1,1,1,1,1,-,-,-,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/3b66afc8160be5b68822a0f28286fd026d64d4a8/packet_queue/libnetfilter_queue.py#L21
NFQUEUE,repo,README.md,3,3,3,3,3,3,3,3,3,3,-,-,-,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/3b66afc8160be5b68822a0f28286fd026d64d4a8/packet_queue/nfqueue.py#L15
TCP,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/dc5ca4f1e7e2da4b21c14067437726aba327a26f/packet_queue/command.py#L41
UDP,repo,README.md,10,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/dc5ca4f1e7e2da4b21c14067437726aba327a26f/tests/test_e2e.py#L15
impaired_network_clear_iptables,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/dc5ca4f1e7e2da4b21c14067437726aba327a26f/setup.py#L37
impaired_network_server,repo,README.md,2,2,2,2,2,2,2,2,3,4,4,4,4,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/dc5ca4f1e7e2da4b21c14067437726aba327a26f/setup.py#L35
impaired_network_shell,repo,README.md,2,2,2,2,2,2,2,2,2,2,-,-,-,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/3b66afc8160be5b68822a0f28286fd026d64d4a8/setup.py#L34
iptables,repo,README.md,3,3,3,3,3,3,3,4,5,5,-,-,-,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/3b66afc8160be5b68822a0f28286fd026d64d4a8/tools/docker/Dockerfile#L23
libnetfilter_queue,repo,README.md,0,0,0,0,7,7,6,6,6,6,-,-,-,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/3b66afc8160be5b68822a0f28286fd026d64d4a8/packet_queue/nfqueue.py#L22
packet_queue,repo,README.md,7,10,10,10,11,11,11,-,-,-,-,-,-,https://github.com/google/packet-queue/blob/76dbd712465a7525d2aa67b112ba5976255926aa/README.md,https://github.com/google/packet-queue/blob/b5790f78f39514ed160275967f74c0de4b3c71b3/tests/test_simulation.py#L17
