code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,doc_link,source_link
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/package.yaml#L19
AST,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/src/GHC/SourceGen/Overloaded.hs#L69
DerivingVia,repo,README.md,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/src/GHC/SourceGen/Decl.hs#L511
GHC,repo,README.md,118,118,118,118,118,118,118,118,119,119,24,24,24,25,25,25,25,23,23,23,23,24,24,53,53,55,55,55,55,55,55,55,56,56,56,56,56,57,57,57,56,56,59,59,59,59,59,59,59,59,62,62,62,62,62,62,62,61,58,119,120,120,120,120,120,120,120,120,120,228,257,258,258,300,301,287,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L4
GHC.SourceGen,repo,README.md,-,-,-,-,-,-,-,-,-,-,95,95,95,96,96,104,98,85,85,101,101,102,104,104,103,105,112,112,113,113,114,115,117,118,118,121,121,121,121,121,123,123,123,123,125,125,126,126,126,126,126,126,126,126,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,146,146,146,146,146,146,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L13
GhcPs,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,28,28,28,28,31,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,41,41,41,41,51,51,51,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/src/GHC/SourceGen/Type/Internal.hs#L10
HsDecl,repo,README.md,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L32
HsExpr,repo,README.md,53,53,53,53,53,53,53,53,55,55,55,55,55,55,55,55,55,56,56,56,56,56,64,64,64,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,64,61,74,76,76,76,76,76,76,76,76,76,76,76,76,66,66,66,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L29
HsModule,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L38
HsType,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,53,53,55,55,55,55,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,60,60,60,61,61,61,61,61,61,61,61,61,61,62,64,64,64,62,62,62,62,62,62,62,67,67,67,67,68,68,68,68,63,63,63,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L26
LANGUAGE,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,16,16,16,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,19,19,19,19,19,19,19,19,19,19,26,26,26,26,27,27,27,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L1
NoExt,repo,README.md,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/src/GHC/SourceGen/Syntax/Internal.hs#L101
NoMonomorphismRestriction,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_examples.hs#L9
OverloadedStrings,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/tests/pprint_test.hs#L1
PlaceHolder,repo,README.md,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/70963ae93466ebe135e46998dfaa1a548e82b8ea/src/GHC/SourceGen/Syntax/Internal.hs#L89
SourceGen,repo,README.md,94,94,94,94,94,94,94,94,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/5b02f333db3959836f820a03ac3f629f02d9f5b7/tests/pprint_test.hs#L13
SrcLoc,repo,README.md,9,9,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ghc-source-gen/blob/7b095be7002cd78630fce993822dbd44a3c57132/README.md,https://github.com/google/ghc-source-gen/blob/5b02f333db3959836f820a03ac3f629f02d9f5b7/src/GHC/SourceGen/Type/Internal.hs#L11
