code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
SXG,repo,README.md,0,22,22,22,25,https://github.com/google/sxg-validator/blob/8e014c61ae3611b7db6f8259aea1ca6572083e6b/README.md,https://github.com/google/sxg-validator/blob/c719eeb85d604b2a3d0d805fa47557136a4397d4/package.json#L4
build_extension,repo,README.md,0,1,1,1,1,https://github.com/google/sxg-validator/blob/8e014c61ae3611b7db6f8259aea1ca6572083e6b/README.md,https://github.com/google/sxg-validator/blob/c719eeb85d604b2a3d0d805fa47557136a4397d4/package_extension.sh#L23
