code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
JAX,repo,README.md,1,2,2,2,2,2,2,2,2,2,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L16
LQR,repo,README.md,8,8,8,8,9,9,9,9,9,9,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L16
T,repo,README.md,201,201,193,193,215,217,217,217,217,217,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L20
c,repo,README.md,28,28,28,28,28,28,28,28,28,28,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L30
cem,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L756
cost,repo,README.md,105,105,105,106,118,118,118,118,118,118,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L26
d,repo,README.md,7,7,7,9,11,11,11,11,11,11,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L434
dynamics,repo,README.md,105,105,105,105,114,114,114,114,114,114,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L29
f,repo,README.md,15,17,17,17,17,17,17,17,17,17,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L76
grad_fn,repo,README.md,7,7,7,7,7,7,7,7,7,7,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L316
