code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
GPU,repo,README.md,0,0,0,0,0,0,5,5,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf2/lanczos_algorithm.py#L26
LanczosExperiment,repo,README.md,-,-,-,-,11,11,11,11,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf/mnist_spectral_density.ipynb#L12
TensorFlow,repo,README.md,1,1,2,2,2,2,2,2,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf/mnist_spectral_density.ipynb#L12
lanczos_alg,repo,README.md,-,-,-,-,7,7,7,7,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/jax/spectral_density_test.py#L154
lanczos_experiment,repo,README.md,-,-,-,-,6,6,6,6,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf/mnist_spectral_density.ipynb#L35
lanczos_vec_1,repo,README.md,2,2,3,1,1,1,1,1,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf/mnist_spectral_density.ipynb#L346
mnist_spectral_density,repo,README.md,-,-,-,-,2,2,2,2,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf/mnist_spectral_density.ipynb#L424
tensorflow_datasets,repo,README.md,-,-,-,-,2,2,3,3,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf2/Lanczos_example.ipynb#L42
tridiag_1,repo,README.md,2,2,4,2,2,2,2,2,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf/mnist_spectral_density.ipynb#L346
tridiag_to_density,repo,README.md,-,-,-,-,7,7,8,8,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/README.md,https://github.com/google/spectral-density/blob/8330354e55d42535b13b2e1c618f11904582355c/tf2/Lanczos_example.ipynb#L556
