code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,doc_link,source_link
Bernoulli,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/util_test.py#L46
Categorical,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/examples/play/environment.py#L84
Dataset,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/examples/text/dataset.py#L15
DistModule,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,6,6,6,6,6,6,6,7,6,6,6,4,4,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/model.py#L274
GenCore,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/b637472418e5f7dcc5bd3f7bab13e565e59ee9c4/vaeseq/vae/base.py#L46
HParams,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/hparams.py#L57
MIDI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/examples/midi/model_test.py#L29
ModelBase,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/model_test.py#L15
MusicNet,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/feba37d20c1d115dcfaca24a3529337633316173/vae_seq/examples/music_net/train.py#L1
Normal,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/examples/play/codec.py#L44
OpenAI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/examples/play/environment.py#L15
RNN,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,20,20,21,23,23,23,23,23,23,23,25,20,20,20,20,20,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/vae-seq/blob/41f578d0c34cca21178248a10f0a8cd05e2ca05b/README.md,https://github.com/google/vae-seq/blob/0a1bace02c6bac6ab991ab8203a203d3061615ec/vaeseq/vae_module.py#L106
