code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
BOOL(NSNumber *value),repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/Tests/FBLFunctionalTests/NSSet+FBLFunctionalTests.m#L32
CocoaPods,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/.hgignore#L84
FBLFunctional,repo,README.md,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,155,155,155,155,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/Tests/FBLFunctionalTests/NSSet+FBLFunctionalTests.m#L17
FBLFunctionalTests,repo,README.md,-,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/3f550f805d1ee52c1ee16af442365b68a8b1317c/Package.swift#L30
FunctionalObjC,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/FunctionalObjC.podspec#L2
LICENSE,repo,README.md,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/Tests/FBLFunctionalTests/NSSet+FBLFunctionalTests.m#L8
NSArray,repo,README.md,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,132,132,132,132,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/Tests/FBLFunctionalTests/NSSet+FBLFunctionalTests.m#L29
NSDictionary,repo,README.md,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,58,58,58,58,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/Tests/FBLFunctionalTests/NSDictionary+FBLFunctionalTests.m#L17
NSNumber,repo,README.md,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/Tests/FBLFunctionalTests/NSSet+FBLFunctionalTests.m#L28
NSOrderedSet,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,59,59,59,59,https://github.com/google/functional-objc/blob/6c483ccf56001d63614ec7b617200c43d2500abb/README.md,https://github.com/google/functional-objc/blob/c5755c111f294326f336955b5f62d8c3b4659869/Tests/FBLFunctionalTests/NSOrderedSet+FBLFunctionalTests.m#L17
