code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
**,repo,README.md,201,201,201,201,201,201,201,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/functions/util/string.js#L19
/edit#gid=0,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L23
0Mo9pjFX5X3w2gFHhqsllilYgKzJNgeQBwvky1oeo,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L42
17k4SbW,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L43
1DEVlmBHuzes2reJgRpvlaRyw8m7vOtCQELXHkxi_0ns,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L34
1Tf8ZMb_jAL3W1RGNUn52RFzqShakTb52XoMIozRjh9Y,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L36
1XiurioqBra,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L41
1aFWBTYdRRyUbhfKU1BG1JJRzhJtT5zrC9M93fu2xuv8,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L38
1b1eUARjWetnyJXO6w_lnmkHbf8UmNeXvw3FFnU8TxFE,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L40
1lJUqxdQmETErmWw,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L26
1lv0RRM6nfSzfcEUyDIUJmpizr6yVANoFPrtHBnFTo8c,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L33
1m9MW5xaQv84SJKNI,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L39
1rDKzFMfzPqq8fnZwPFOhYgHPd6EcG1hKzA16yNa57R0,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L37
1xMrYF_N53CeUJfweE1Q6vyYm2eFWEtzZ_f7YMGJ1F5c,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L28
1y3FHJgQlofapqcJDgfeW3umOlQHFQX,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L27
2oGYcHF7,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L39
5YyJlw78rGBna3ANcMPBh8_sXO4,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L26
<SHEET_ID>,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/actions-on-google-trivia-template-sdk/blob/4d70ffa2d2366f6e03c8bc2ae0d0ce52d44849e8/README.md,https://github.com/google/actions-on-google-trivia-template-sdk/blob/1104eaf758c3321f1ec875fa0c5dc9e787508c88/converter/config.js#L23
