code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
/tmp/datasets,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/src/multi_gan/dataset.py#L30
BigGAN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,6,11,11,11,11,11,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/example_configs/biggan_imagenet128.gin#L1
CIFAR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,3,3,3,3,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/eval_gan_lib_test.py#L83
CSV,repo,README.md,0,0,0,0,0,0,0,5,5,5,5,5,5,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/src/eval_gan_lib_test.py#L288
CVPR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/colabs/ssgan_demo.ipynb#L80
CelebaHQ,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/src/datasets.py#L235
DCGAN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/architectures/dcgan.py#L16
FID,repo,README.md,21,21,58,59,59,59,59,60,60,63,63,-,-,12,13,19,19,20,20,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/runner_lib.py#L249
GAN,repo,README.md,36,35,43,66,66,66,66,77,77,78,111,129,129,44,44,44,44,44,44,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/setup.py#L25
GILBO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/metrics/gilbo.py#L16
GPU,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,7,7,8,8,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/gans/ssgan.py#L60
ICML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/colabs/s3gan_demo.ipynb#L84
ImageNet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,8,8,9,9,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/example_configs/biggan_imagenet128.gin#L1
KID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/metrics/kid_score.py#L16
LSUN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/datasets.py#L400
NeurIPS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/colabs/Convex_Polygons_Dataset.ipynb#L51
ResNet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,29,39,39,39,39,39,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/gans/modular_gan.py#L295
SN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/architectures/resnet_ops.py#L101
TF,repo,README.md,1,1,3,3,3,3,3,3,3,3,3,4,4,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/src/ms_ssim_score.py#L41
TPU,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,44,48,48,48,48,48,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/example_configs/sndcgan_celebahq128.gin#L2
TPU_NAME,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/main.py#L72
TensorFlow,repo,README.md,-,-,-,5,5,5,5,6,6,6,6,6,6,11,11,13,13,15,15,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/tpu/tpu_summaries.py#L50
WARNING,repo,README.md,-,-,0,0,0,0,0,2,2,2,2,2,2,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/src/eval_gan_lib.py#L387
WGAN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/gans/penalty_lib.py#L61
best_models_sndcgan,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/b8ebb17351b5994654c6f00ae0bab763f11e3630/compare_gan/src/generate_tasks_lib.py#L713
compare_gan,repo,README.md,61,61,88,103,103,107,107,126,127,130,154,159,159,170,170,177,177,180,180,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/setup.py#L16
compare_gan_generate_tasks,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,4,4,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/setup.py#L34
compare_gan_prepare_datasets,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/setup.py#L35
