code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,doc_link,source_link
ANY,repo,README.md,2,2,2,2,5,5,5,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L11
AS,repo,README.md,2,2,2,2,5,5,5,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L10
BASIS,repo,README.md,2,2,2,2,5,5,5,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L10
CONDITIONS,repo,README.md,4,4,4,4,7,7,7,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L11
DAP,repo,README.md,-,-,-,0,3,3,3,4,4,9,9,10,10,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,18,18,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/b50237978ea61be63247ca438872c246454dd521/schematypes.go#L16
GitHub,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/4803c9c6856ffc8051a34f41557ecf11ffb73901/docs/contributing.md#L21
IS,repo,README.md,2,2,2,2,5,5,5,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L10
KIND,repo,README.md,2,2,2,2,5,5,5,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L11
LICENSE,repo,README.md,2,2,2,2,5,5,5,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L7
LLC,repo,README.md,0,0,0,0,3,3,3,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-dap/blob/2b8a908a4b366874c3f0661e8742fdeb688f3cda/README.md,https://github.com/google/go-dap/blob/e6697fb8185dec6b9418fb7957a93a8dca87ee45/schematypes.go#L1
