code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
ASTC,repo,README.md,0,0,0,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/weight_infill.h#L30
ASTCDecompressToRGBA,repo,README.md,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/test/codec_test.cc#L84
CMakeLists,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/CMakeLists.txt#L32
CONTRIBUTING,repo,README.md,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9281bf41acf975a739698999958b63cf8869855c/third_party/googletest/googlemock/docs/Documentation.md#L14
FootprintType,repo,README.md,-,-,-,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/test/codec_test.cc#L25
LDR,repo,README.md,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/test/endpoint_codec_test.cc#L165
LICENSE,repo,README.md,2,28,30,83,83,57,57,57,58,61,61,61,61,61,61,61,61,61,61,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/weight_infill.h#L7
astc.data(),repo,README.md,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/test/logical_astc_block_test.cc#L88
astc.size(),repo,README.md,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/test/logical_astc_block_test.cc#L82
astc_codec,repo,README.md,-,-,-,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/weight_infill.h#L22
result.size(),repo,README.md,-,-,-,12,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/test/image_utils.h#L112
size_t,repo,README.md,-,-,-,500,500,155,155,155,155,155,155,155,155,155,155,156,156,156,156,https://github.com/google/astc-codec/blob/6eed60043b7b93407982d9fd3f1822aaf46afc17/README.md,https://github.com/google/astc-codec/blob/9757befb64db6662aad45de09ca87cd6f599ac02/src/decoder/tools/astc_inspector_cli.cc#L72
