code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,doc_link,source_link
ANY,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,59,59,59,61,61,61,61,61,61,61,61,61,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L13
AS,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,54,54,54,58,58,58,58,58,58,58,58,58,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L12
BASIS,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,49,49,49,49,49,49,49,49,49,49,49,49,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L12
CLI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/polyfills.ts#L81
CONDITIONS,repo,README.md,-,4,6,15,20,25,32,38,41,46,46,46,46,46,46,53,53,53,53,53,53,53,53,53,53,53,53,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L13
CSS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/dist/main.js#L1
HTML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/dist/main.js#L1
ID,repo,README.md,-,0,0,0,0,0,0,4,4,11,11,11,11,11,11,16,16,16,16,16,16,16,16,16,16,16,13,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/app/services/global-tag-verification.service.ts#L337
IS,repo,README.md,-,2,6,15,20,25,32,38,41,47,47,47,47,47,47,62,61,61,64,64,64,64,64,64,64,64,64,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L12
JS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/polyfills.ts#L79
KIND,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,54,54,54,54,54,54,54,54,54,54,54,54,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L13
LICENSE,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,48,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L9
LLC,repo,README.md,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/dist/3rdpartylicenses.txt#L8
OF,repo,README.md,-,3,5,14,19,24,31,37,40,52,52,52,52,52,52,78,74,74,79,79,79,79,79,76,76,76,76,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L13
OGT,repo,README.md,-,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/app/services/floodlight-tracker.service.ts#L412
OR,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,84,84,84,92,92,92,92,92,92,92,92,92,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L13
TODO,repo,README.md,-,0,0,0,0,1,2,4,6,24,24,24,24,24,24,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c7f7ddd09ccfa4f171bcd68116ccaa4a48699e2b/app/src/app/utils/utils.ts#L102
UI,repo,README.md,-,0,2,2,2,2,2,2,2,4,4,4,4,4,4,7,7,7,5,5,5,5,5,5,5,5,5,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/app/services/floodlight-tracker.service.ts#L212
URL,repo,README.md,-,0,0,0,0,5,5,5,8,17,17,17,17,16,16,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/app/utils/utils.ts#L46
WARRANTIES,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,54,54,54,56,56,56,56,56,56,56,56,56,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L13
WITHOUT,repo,README.md,-,2,4,13,18,23,30,36,39,44,44,44,44,44,44,54,54,54,54,54,54,54,54,54,54,54,54,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/test.ts#L13
gTag,repo,README.md,-,0,0,1,1,2,2,7,7,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/manifest.json#L4
uVariables,repo,README.md,-,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/conversion-audit/blob/a218315b2d2daac9f5ce87231f97fcce8174f11b/README.md,https://github.com/google/conversion-audit/blob/c3161254a083af2a25e471bf282271da3b880843/app/src/app/modules/conversion-tag-report/conversion-tag-report.component.html#L55
