code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
./dist,repo,README.md,1,1,1,1,1,1,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/package.json#L18
ANY,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L12
AS,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L11
BASIS,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L11
CONDITIONS,repo,README.md,11,11,11,11,11,11,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L12
HID,repo,README.md,3,3,3,3,3,3,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/src/test_app/index.html#L96
IS,repo,README.md,10,10,10,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L11
KIND,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L12
LICENSE,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L8
LLC,repo,README.md,7,7,7,7,7,7,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L3
OF,repo,README.md,10,10,10,10,10,10,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L12
OR,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L12
USB,repo,README.md,5,5,5,5,5,5,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/src/lib/hid_telephony.ts#L190
WARRANTIES,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L12
WITHOUT,repo,README.md,9,9,9,9,9,9,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L12
WebHID,repo,README.md,2,2,2,2,2,2,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/src/lib/hid_telephony.ts#L93
libtelephony.js,repo,README.md,1,1,1,1,1,1,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/webpack.config.js#L39
pack_app,repo,README.md,1,1,1,1,1,1,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,https://github.com/google/libhidtelephony/blob/3dab2a65626dd33c11900c5c192a5f29aa0efdc0/package.json#L17
package.json,repo,README.md,1,1,1,1,1,1,https://github.com/google/libhidtelephony/blob/726fa1a403708ede65865867e271d5b159c78649/README.md,code_element is a file name
