code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
$HOME,repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/.travis.yml#L19
ANSI,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/utils.py#L64
API,repo,README.md,.,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/utils.py#L65
ASCII,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/utils.py#L64
BG,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/generate/__init__.py#L111
CLI,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/utils.py#L166
CTRL,repo,README.md,.,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/display.py#L42
FG,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,2,2,2,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/generate/utils.py#L42
GIF,repo,README.md,.,13,13,13,13,14,14,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/tests/generate/test_utils.py#L244
ID,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/gif_for_cli/utils.py#L80
URL,repo,README.md,.,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/tests/generate/test_utils.py#L342
gif-for-cli,repo,README.md,.,-,-,5,5,5,5,5,6,6,6,6,6,6,7,12,12,12,12,12,12,12,12,12,12,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/tests/test_utils.py#L102
gif_for_cli,repo,README.md,.,32,32,33,33,33,33,33,33,33,33,33,33,33,33,47,47,49,51,51,51,53,53,53,53,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/tox.ini#L6
setup.py,repo,README.md,.,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,https://github.com/google/gif-for-cli/blob/9696f25fea2e38499b7c248a3151030c3c68bb00/README.md,https://github.com/google/gif-for-cli/blob/31f8aa2d617d6d6e941154f60e287c38dd9a74d5/tox.ini#L6
