code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,doc_link,source_link
*.txt,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/ls_test.dart#L30
.openRead(),repo,README.md,.,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L322
>,repo,README.md,.,-,-,119,120,149,156,183,187,208,210,217,225,226,227,227,227,227,227,235,235,243,243,248,251,256,285,298,298,301,306,311,313,313,313,326,350,353,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util/entangled_controllers_test.dart#L256
ByteStreamExtensions,repo,README.md,.,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/src/extensions/byte_stream.dart#L26
CLI,repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/src/cli_arguments.dart#L23
Future,repo,README.md,.,15,17,25,25,25,25,39,41,42,42,42,45,45,45,45,45,45,45,45,45,52,52,52,52,54,63,66,66,66,66,73,73,73,73,74,74,74,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util/entangled_controllers_test.dart#L46
LineStreamExtensions,repo,README.md,.,-,-,-,-,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/src/util.dart#L37
List<List<int>>,repo,README.md,.,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/src/extensions/chunk_list.dart#L17
List<String>,repo,README.md,.,8,8,10,10,10,10,10,10,10,10,12,14,14,14,14,14,14,14,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/cli_arguments_test.dart#L271
List<int>,repo,README.md,.,-,-,17,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,25,33,33,33,33,34,34,34,34,34,34,36,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/sub_process_test.dart#L85
Script,repo,README.md,.,73,98,141,142,175,179,179,181,181,185,198,198,198,200,200,200,200,200,200,200,200,200,205,205,208,210,221,221,221,222,222,228,228,230,247,247,249,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util.dart#L29
"Script(""grep Natalie"")",repo,README.md,.,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L316
"Script(""wc -l"")",repo,README.md,.,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L317
Script.capture(),repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/src/script.dart#L562
Script.pipeline,repo,README.md,.,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/pipe_test.dart#L49
Stream,repo,README.md,.,8,9,13,13,26,26,26,26,26,26,32,32,32,32,32,32,32,32,32,32,32,32,32,37,36,38,40,40,44,47,48,48,48,49,49,71,71,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L27
Stream<List<int>>,repo,README.md,.,12,14,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,23,23,23,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/sub_process_test.dart#L184
Stream<String>,repo,README.md,.,-,-,5,5,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/pipe_test.dart#L318
StreamTransformer,repo,README.md,.,-,-,-,-,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,21,21,21,21,21,21,22,22,22,22,22,22,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/script_wrapper_test.dart#L41
String,repo,README.md,.,-,-,51,51,76,79,104,106,124,126,128,131,133,134,134,134,134,134,142,142,144,144,146,148,148,148,150,150,150,152,154,163,163,163,164,184,184,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util/delayed_completer_test.dart#L21
TODO,repo,README.md,.,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/16886a3097eff18b00e619b7fa991663a5f98a3c/.github/workflows/ci.yml#L23
