code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
WikiLoop_Explorer_Logo,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/wikiloop-explorer/blob/ee0de00c6dd818ed9f08599bb78224a7e987deea/README.md,https://github.com/google/wikiloop-explorer/blob/bf083d700e12a716f9c30bb8b0baa0784f42171c/explorer-client/src/components/WelcomePage.vue#L19
WikiProject_WikiLoop,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/wikiloop-explorer/blob/ee0de00c6dd818ed9f08599bb78224a7e987deea/README.md,https://github.com/google/wikiloop-explorer/blob/bf083d700e12a716f9c30bb8b0baa0784f42171c/explorer-client/src/components/WelcomePage.vue#L18
