code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
--agent,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L58
--file,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L53
--url,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L64
-a,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L58
-f,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L53
-u,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L64
0,repo,README.md,-,78,79,83,83,83,90,90,91,91,88,88,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L3
1,repo,README.md,-,31,31,40,40,40,43,43,43,43,44,43,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsMatcherTest.java#L393
ALLOWED,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L109
ANY,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L11
AS,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L10
BASIS,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L10
CONDITIONS,repo,README.md,8,19,19,19,19,19,18,18,18,18,18,18,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L11
DISALLOWED,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L112
FooBot,repo,README.md,-,72,72,85,87,87,89,180,188,188,188,188,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L54
IS,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L10
KIND,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L11
LICENSE,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L7
LLC,repo,README.md,4,15,15,15,15,15,14,14,14,14,14,14,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L1
Matcher,repo,README.md,-,-,-,-,-,-,-,-,-,59,59,59,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L40
OF,repo,README.md,7,18,18,18,18,18,17,17,17,17,17,17,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L11
OR,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L11
RobotsParserApp,repo,README.md,-,3,3,3,3,3,4,4,4,4,4,4,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L42
SNAPSHOT,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/pom.xml#L25
URL,repo,README.md,-,15,15,16,16,16,14,14,14,14,14,14,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsParserApp.java#L39
WARRANTIES,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L11
WITHOUT,repo,README.md,6,17,17,17,17,17,16,16,16,16,16,16,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/test/java/com/google/search/robotstxt/RobotsParserTest.java#L11
mainClass,repo,README.md,0,0,0,0,0,0,2,2,2,2,2,2,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/pom.xml#L199
target,repo,README.md,-,-,-,-,-,-,8,8,8,8,8,8,https://github.com/google/robotstxt-java/blob/b58d7cc793788c2691b039d3c8b80ef06b18ac9a/README.md,https://github.com/google/robotstxt-java/blob/ef74a3c5d7bb7047c018a24391a66081e5ff8688/src/main/java/com/google/search/robotstxt/RobotsMatcher.java#L94
