code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,doc_link,source_link
MacOS,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/f82151097e0a95ea7f4a38fccd9f0a92418228a9/test_runner/ios_test_runner.py#L175
UI,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/aa821f33cc501f916678cc6503da2a169bb9b496/xctestrunner/test_runner/xctestrun.py#L482
XCTest,repo,README.md,6,6,6,6,6,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/test_runner/xctestrun.py#L475
XCTestRunner,repo,README.md,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/6ab9d63031c74087fd425e9ca11693283185dc7d/TestRunner/xctestrun.py#L22
XCUITest,repo,README.md,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/test_runner/xctestrun.py#L416
iOS,repo,README.md,25,25,25,25,25,28,28,26,26,26,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,35,35,36,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/test_runner/xctestrun.py#L162
ios_test_runner,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/BUILD#L19
simctl,repo,README.md,8,8,8,8,8,18,18,18,18,19,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,22,22,22,22,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/test_runner/logic_test_util.py#L71
simulator_test,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/test_runner/ios_test_runner.py#L179
test,repo,README.md,-,-,136,136,136,224,224,211,211,223,228,237,237,238,240,240,240,240,240,240,240,240,240,240,240,244,244,246,192,192,192,192,192,194,194,200,200,200,201,201,199,199,199,199,199,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/test_runner/xctestrun.py#L38
xcodebuild,repo,README.md,26,26,26,26,26,28,28,28,28,28,28,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,22,22,22,22,22,22,22,22,22,22,22,22,18,18,18,18,18,https://github.com/google/xctestrunner/blob/7f8fc81b10c8d93f09f6fe38b2a3f37ba25336a6/README.md,https://github.com/google/xctestrunner/blob/e0bc4b29976cf000794e9e796cb8a584b0c443bc/test_runner/xctestrun.py#L153
