code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
ADVISED,repo,README.md,1,1,1,1,1,1,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L24
AND,repo,README.md,4,4,4,4,4,4,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L14
ANY,repo,README.md,5,5,5,5,5,5,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/dart-mode.el#L9
ARE,repo,README.md,1,1,1,1,1,1,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L17
ARISING,repo,README.md,1,1,1,1,1,1,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L23
AS,repo,README.md,1,1,1,1,1,1,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L15
BE,repo,README.md,1,1,1,1,1,1,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L18
BUSINESS,repo,README.md,1,1,1,1,1,1,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L21
BUT,repo,README.md,2,2,2,2,2,2,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L15
BY,repo,README.md,1,1,1,1,1,1,https://github.com/google/dart-emacs-plugin-unsupported/blob/9f2f4214341ea637ea407891811e3d48281e1f16/README.md,https://github.com/google/dart-emacs-plugin-unsupported/blob/769643be84c84715a82a76fc8dfd57b4dd46a990/LICENSE#L14
