code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
/audit,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,4,4,5,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/src/client/components/audit-form.js#L41
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/3f6d52ff081c444a4eb3c9273665cb0137db72ff/src/client/components/audit-form.js#L33
BQ,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/src/utils/bq.js#L22
BQ_DATASET,repo,README.md,-,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/src/app.js#L54
BQ_TABLE,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/src/app.js#L55
BigQuery,repo,README.md,-,-,-,-,-,5,5,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/3f6d52ff081c444a4eb3c9273665cb0137db72ff/src/utils/bq.js#L19
CLOUD_TASKS_QUEUE,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,5,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/src/app.js#L91
CLOUD_TASKS_QUEUE_LOCATION,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,5,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/src/app.js#L92
GCP_KEY_PATH,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/docker-compose.yml#L8
GOOGLE_APPLICATION_CREDENTIALS,repo,README.md,-,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/lasso/blob/81db12a0db89254f96dfd4cd35b673890c10e0dc/README.md,https://github.com/google/lasso/blob/6f210983af5a597d422552b12bcda77fdfadc39f/docker-compose.yml#L21
