code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
-f,repo,README.md,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_acceptance.py#L105
AppEngine,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/crawl.py#L794
BigQuery,repo,README.md,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L169
BigTable,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L180
CONTRIBUTING.md,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,code_element is a file name
CloudFunctions,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L176
CloudSQL,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/crawl.py#L486
CloudStore,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L188
DB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L247
ERROR,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/compute_instances#L398
