code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
AdGroup,repo,README.md,5,5,5,5,5,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L30
AdGroups,repo,README.md,1,1,0,0,0,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/c65b9fc84e77842f72c04f3e95248fbe3c1cb368/Code.js#L179
ID,repo,README.md,9,9,9,9,9,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L24
INPUT,repo,README.md,11,11,11,11,11,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L38
IO,repo,README.md,5,5,5,5,5,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L26
LI,repo,README.md,5,5,5,5,5,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L28
NAME,repo,README.md,4,4,4,4,4,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L24
SDF,repo,README.md,27,27,27,27,27,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L26
STRUCTURE_AND_DEFAULTS,repo,README.md,3,3,2,2,2,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/Setup.js#L39
TrueView,repo,README.md,11,11,17,17,17,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/SdfObjects.js#L35
URL,repo,README.md,0,0,1,1,1,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/SdfObjects.js#L262
YouTube,repo,README.md,6,6,6,6,6,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/README.md,https://github.com/google/trueview-sdf-generator/blob/937ce2513ea3bcce41e4e32eeb19cf3d7f1a5dec/SdfObjects.js#L208
