code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
BGP_DESTINATION_AS_NUMBER,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L63
BGP_SOURCE_AS_NUMBER,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L62
FLOW_END_NANOSECONDS,repo,README.md,-,-,-,2,2,0,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/293723f4447fdbf8cfe8f2eb9f0c82bbc3a04b08/send.h#L69
FLOW_END_REASON,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L68
FLOW_START_NANOSECONDS,repo,README.md,-,-,-,2,2,0,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/293723f4447fdbf8cfe8f2eb9f0c82bbc3a04b08/send.h#L68
ICMP_TYPE,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L66
IN_BYTES,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L53
IN_PKTS,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L54
IP,repo,README.md,-,-,-,10,10,10,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L42
IPFIX,repo,README.md,0,26,26,26,26,27,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L79
IPV4_DST_ADDR,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L61
IPV4_SRC_ADDR,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L59
IPV6_DST_ADDR,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L65
IPV6_SRC_ADDR,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L64
IP_CLASS_OF_SERVICE,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L56
L4_DST_PORT,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L60
L4_SRC_PORT,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L58
PROTOCOL,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L55
TCP_FLAGS,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L57
UDP,repo,README.md,-,-,-,1,1,1,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/ipfix.h#L60
VLAN_ID,repo,README.md,-,-,-,2,2,2,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/send.h#L67
clerk,repo,README.md,-,-,-,65,65,67,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/README.md,https://github.com/google/clerk/blob/790f82e66057090f86e9df12ee1d614ab42f5205/testimony.h#L33
