code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,doc_link,source_link
--schema-filter,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/scripts/run-td-extract.sh#L52
--skip-sql-scripts,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/scripts/run-td-extract.sh#L62
--sql-scripts,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/scripts/run-td-extract.sh#L57
AND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,46,46,46,46,46,46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,49,49,49,49,49,49,49,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,53,53,53,53,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,96,96,96,96,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L17
ANY,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,64,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,104,105,105,106,106,107,112,112,112,112,112,112,112,112,112,112,115,115,117,117,117,117,118,118,118,118,118,118,118,118,118,118,118,119,119,124,124,198,198,198,198,198,206,206,206,206,208,208,214,214,214,214,215,221,225,225,225,225,252,252,252,252,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L15
AS,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,54,55,56,58,59,59,60,60,60,61,62,64,64,65,65,65,65,66,67,67,67,69,90,90,90,91,91,91,91,91,91,91,233,234,234,251,251,251,258,270,361,95,95,97,106,106,106,106,106,110,110,110,110,110,113,113,114,114,114,114,118,118,119,119,119,119,119,119,119,119,119,120,120,125,125,209,209,210,210,210,219,219,219,219,221,221,227,227,227,228,231,237,241,241,241,241,266,266,266,266,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L15
AllTempTablesVX,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L17
BASIS,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,64,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,77,77,78,78,79,84,84,84,84,84,84,84,84,84,84,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,89,89,94,94,168,168,168,168,168,176,176,176,176,178,178,184,184,184,184,185,191,195,195,195,195,218,218,218,218,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/picocli-4.6.1/LICENSE#L146
CONDITIONS,repo,README.md,27,27,27,30,30,30,34,40,40,40,40,42,42,49,49,51,52,53,54,56,57,57,58,58,58,59,60,62,62,62,62,62,62,63,64,64,64,66,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,89,89,90,90,91,96,96,96,96,96,96,96,96,96,96,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,101,101,106,106,180,180,180,180,180,188,188,188,188,190,190,196,196,196,196,197,203,207,207,207,207,252,252,252,252,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/picocli-4.6.1/LICENSE#L6
DATABASE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/kokoro/gcp_ubuntu/kokoro_build.sh#L118
