code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,doc_link,source_link
.cml,repo,README.md,1,2,2,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/src/provider.ts#L561
.cmx,repo,README.md,3,5,8,9,9,9,10,10,10,10,10,12,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/src/test/suite/extension.test.ts#L953
CHANGELOG,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/RELEASING.md#L13
FuchsiAware,repo,README.md,-,1,1,1,1,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/src/log.ts#L19
ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,14,14,14,13,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/src/provider.ts#L847
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/src/test/suite/index.ts#L7
OS,repo,README.md,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/9d44a74236e9f19b5a6690133bc9b8a9cd189198/package.json#L4
RichKadel,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,2,2,2,2,2,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/package.json#L6
URL,repo,README.md,0,-,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/src/provider.ts#L108
VS,repo,README.md,0,-,-,-,-,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,9,9,11,https://github.com/google/fuchsiaware/blob/cea7f65d301101dafa80b6df74cc075c9158c29b/README.md,https://github.com/google/fuchsiaware/blob/2792d30349c8824a9d4b5ac5576d20a75675b667/src/test/runTest.ts#L29
