code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
ANY,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L11
AS,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L10
BASIS,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L10
BigQuery,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L45
CCP,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L31
CONDITIONS,repo,README.md,-,-,8,8,8,8,8,8,8,8,7,7,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L11
GeoJSON,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L392
IS,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L10
JSON,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L350
KIND,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L11
LICENSE,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L7
LLC,repo,README.md,4,4,4,4,4,4,4,4,4,4,3,3,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L1
OF,repo,README.md,-,-,7,7,7,7,7,7,7,7,6,6,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L11
OR,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L11
URL,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L31
WARRANTIES,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L11
WITHOUT,repo,README.md,-,-,6,6,6,6,6,6,6,6,5,5,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L11
bqDataset,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L46
gcsBucket,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L40
gcsPath,repo,README.md,11,11,11,11,11,11,11,11,11,11,-,-,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/0017f52c147b3f7edbaa8387c8a9a44a29fc32e3/main.py#L38
newCase,repo,README.md,5,5,5,5,5,5,5,5,5,5,3,3,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/README.md,https://github.com/google/waze-ccp-gcp/blob/43471a25d6caf8b650f1770a667a79791a005d82/main.py#L227
