code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
ACROSS,repo,README.md,-,1,1,1,28,28,28,28,28,28,28,28,28,28,34,34,34,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/package.json#L4
ANY,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L11
AS,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L10
BASIS,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L10
CONDITIONS,repo,README.md,-,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L11
IS,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L10
KIND,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L11
LICENSE,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L7
LLC,repo,README.md,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L1
OCEAN,repo,README.md,-,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/content/en/workshops/multiplayer/faq/_index.md#L14
OF,repo,README.md,-,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L11
OR,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L11
WARRANTIES,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L11
WITHOUT,repo,README.md,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/across/blob/74ea12032bb00ccdd5cbe92b49d7222ae485e317/README.md,https://github.com/google/across/blob/9b1c316d88c275a0677c9ae07162e2a870856373/deploy.sh#L11
