code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
.asGrpcServer(PORT),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,-,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/45218f658cf404e0e270738168df681c0542cc87/example/src/test/kotlin/com/google/api/example/ExampleTest.kt#L37
.asGrpcService(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/example-with-proto/src/main/kotlin/com/google/api/example/ExampleReflection.kt#L36
:runExampleWithGoogle,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/.circleci/config.yml#L33
@GrpcClient,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/processor/src/test/kotlin/com/google/api/grpc/kapt/GrpcClientTest.kt#L26
@GrpcMarshaller,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/processor/src/main/kotlin/com/google/api/grpc/kapt/GrpcProcessor.kt#L69
@GrpcServer,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/processor/src/main/kotlin/com/google/api/grpc/kapt/generator/Generator.kt#L154
API,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,16,17,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/example-with-google-api/src/main/proto/google/cloud/language/v1/language_service.proto#L55
"Answer(""you said: '${question.query}'"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,-,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/45218f658cf404e0e270738168df681c0542cc87/example-with-json/src/main/kotlin/com/google/api/example/Example.kt#L100
"Answer(result = ""you said: '${question.query}'"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/example/src/main/kotlin/com/google/api/example/Example.kt#L59
Answer(val result: String),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/example/src/main/kotlin/com/google/api/example/Example.kt#L48
ByteArrayInputStream(mapper.writeValueAsBytes(value),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/example-with-json/src/main/kotlin/com/google/api/example/Example.kt#L129
ComplexServer,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/example-with-json/src/main/kotlin/com/google/api/example/Example.kt#L98
ComplexServer(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/README.md,https://github.com/google/grpc-kapt/blob/b9f3a946c1e3d660b30d90dbdfc10871351bf3c4/example-with-json/src/test/kotlin/com/google/api/example/ExampleTest.kt#L35
