code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
$GOPATH,repo,README.md,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/regen_proto.sh#L20
ANY,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L11
AOSP,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,0,0,0,0,0,0,1,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/pb/metrics_proto/metrics_constants.proto#L3763
API,repo,README.md,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,6,6,6,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/pb/batterystats_proto/batterystats.proto#L415
AS,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L10
BASIS,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L10
CONDITIONS,repo,README.md,.,.,.,.,.,.,.,.,42,42,42,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L11
IP,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,1,1,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/parseutils/parseutils.go#L119
IS,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L10
KIND,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L11
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,95,95,95,105,109,109,118,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L7
NOT,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,5,5,5,5,5,5,6,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/pb/usagestats_proto/android_package_info.pb.go#L3
NOTICE,repo,README.md,.,.,.,.,.,.,.,.,6,-,-,-,-,-,-,-,-,-,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/941846062f4fadd6a9ab5a65458ed37a9ee64828/LICENSE#L107
OF,repo,README.md,.,.,.,.,.,.,.,.,42,42,42,107,107,107,117,121,121,131,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L11
OR,repo,README.md,.,.,.,.,.,.,.,.,41,41,41,95,95,95,105,109,109,119,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L11
