code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
CommandLineParser,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/IdleWakeups.csproj#L20
ETL,repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L71
ETW,repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L15
EventTracing,repo,README.md,6,6,6,6,6,6,6,6,6,6,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L38
IdleWakeups,repo,README.md,9,9,9,9,9,9,9,9,9,9,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L41
NET,repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/IdleWakeups.csproj#L1
TraceProcessing,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L15
WPA,repo,README.md,4,4,4,4,4,4,4,4,4,4,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L31
etlFileName,repo,README.md,13,14,15,15,15,15,15,15,15,15,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L53
exportToPprof,repo,README.md,-,5,5,5,5,5,5,5,5,5,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L65
includeInlinedFunctions,repo,README.md,-,3,3,3,3,3,3,3,3,3,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L83
includeProcessAndThreadIds,repo,README.md,4,4,4,4,4,4,4,4,4,4,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L62
includeProcessIds,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L99
includeWokenThreadIdsForWakers,repo,README.md,-,-,-,-,-,-,-,3,3,3,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L107
listProcesses,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L135
loadFromSymCache,repo,README.md,-,-,5,5,5,5,5,5,5,5,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L68
loadSymbols,repo,README.md,3,4,4,4,4,4,4,4,4,4,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L119
outputFileName,repo,README.md,8,7,7,7,7,7,7,7,7,7,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L53
pprofComment,repo,README.md,-,-,-,-,3,3,3,3,3,3,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L131
printSummary,repo,README.md,3,-,-,-,-,-,-,-,-,-,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/4c282d8193a48998e416cc8ff2eaf7a939525943/Program.cs#L103
processFilter,repo,README.md,12,12,12,12,12,12,12,12,12,12,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L56
splitChromeProcesses,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L111
stripSourceFileNamePrefix,repo,README.md,-,3,3,3,3,3,3,3,3,3,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L87
timeEnd,repo,README.md,4,4,4,4,4,4,4,4,4,4,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L56
timeStart,repo,README.md,4,4,4,4,4,4,4,4,4,4,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L56
trace.etl,repo,README.md,4,5,6,6,6,6,6,6,6,6,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/README.md,https://github.com/google/IdleWakeups/blob/0d57eba3530e40a9272374f628888a7a126588c8/Program.cs#L53
