code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,doc_link,source_link
IETF,repo,README.md,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,19,19,19,19,19,19,19,38,38,38,38,38,57,57,57,57,57,57,76,76,76,76,76,76,76,76,76,86,115,115,115,115,115,115,144,144,144,144,144,173,173,171,198,221,221,221,221,221,221,221,221,246,246,31,https://github.com/google/self-published-geo/blob/238388a815b228e64563821d1f0463d3dbc94c22/README.md,https://github.com/google/self-published-geo/blob/238388a815b228e64563821d1f0463d3dbc94c22/rfc8805.xml#L112
IP,repo,README.md,-,-,-,-,-,-,-,-,-,44,44,47,46,48,48,55,55,69,69,70,80,87,87,89,91,91,92,114,114,118,108,108,108,108,108,216,216,216,217,217,326,326,326,326,326,326,435,435,435,437,436,436,436,436,437,439,552,553,553,553,553,553,667,662,662,662,662,771,771,768,874,988,988,988,988,988,988,988,989,1100,1100,101,https://github.com/google/self-published-geo/blob/238388a815b228e64563821d1f0463d3dbc94c22/README.md,https://github.com/google/self-published-geo/blob/238388a815b228e64563821d1f0463d3dbc94c22/rfc8805.xml#L7
RFC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,https://github.com/google/self-published-geo/blob/238388a815b228e64563821d1f0463d3dbc94c22/README.md,https://github.com/google/self-published-geo/blob/238388a815b228e64563821d1f0463d3dbc94c22/rfc8805.xml#L8
