code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,doc_link,source_link
ANY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,214,214,214,214,214,214,214,214,214,214,214,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L12
AS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,379,380,397,397,397,397,397,397,397,397,397,397,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L11
BASIS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,211,211,211,211,211,211,211,211,211,211,211,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L11
BigQuery,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,74,74,74,74,74,74,74,74,74,74,74,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/dumper/lib-ext-bigquery/src/main/java/com/google/edwmigration/dumper/plugin/ext/bigquery/BigQueryClientUtils.java#L52
CONDITIONS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212,213,213,213,213,213,213,213,213,213,213,213,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L12
IS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227,228,228,228,228,228,228,228,228,228,228,228,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L11
KIND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,211,211,211,211,211,211,211,211,211,211,211,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L12
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212,213,213,213,213,213,213,213,213,213,213,213,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L8
LLC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,204,204,204,204,204,204,204,204,204,204,204,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradle/codequality/HEADER.sql#L1
OF,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212,213,213,213,213,213,213,213,213,213,213,213,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L12
OR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227,228,228,228,228,228,228,228,228,228,228,228,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L12
SQL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,37,37,37,37,37,37,37,37,37,37,37,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/dumper/lib-ext-hive-metastore/src/main/thrift/hive_metastore_superset.thrift#L1910
WARRANTIES,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,211,211,211,211,211,211,211,211,211,211,211,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L12
WITHOUT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,211,211,211,211,211,211,211,211,211,211,211,https://github.com/google/dwh-migration-tools/blob/df98dc0007a08bfc0b7a033d820d5e17e27e492c/README.md,https://github.com/google/dwh-migration-tools/blob/6abe37faaaeb3a1999fddc4b0e966c9b57f337e0/gradlew.bat#L12
