code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
--infer_metrics,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/evaluator_main.py#L52
AirDialogue,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/visualizer/utils.py#L118
BLEU,repo,README.md,-,-,-,-,-,-,-,-,-,17,17,17,17,17,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/metrics/kl.py#L15
KB,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/metrics/flight_distance.py#L156
KL,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/infer_utils.py#L53
belu:brief,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/evaluator_main.py#L56
bleu:all,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/evaluator_main.py#L55
bleu:brief,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/evaluator_main.py#L54
brief,repo,README.md,-,-,-,-,-,-,-,-,-,10,10,10,10,10,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/infer_utils.py#L31
context,repo,README.md,11,11,11,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/simulator/simulator_main.py#L33
data_file,repo,README.md,14,14,14,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/prepro/standardize_data_lib.py#L65
data_path,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/visualizer/visualizer_main.py#L57
dialogue,repo,README.md,36,36,36,39,39,39,54,54,54,54,54,54,54,54,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/visualizer/utils.py#L88
infer_metrics,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/evaluator/evaluator_main.py#L93
input_type,repo,README.md,14,14,14,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/README.md,https://github.com/google/airdialogue/blob/cda870a106406ce64c3c29a15eb0dfd5216a515c/airdialogue/prepro/tokenize_lib.py#L221
