code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,doc_link,source_link
4kB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/examples/hifive-riscv-32/Makefile#L27
ANY,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,36,36,36,36,37,36,41,41,41,41,45,45,45,46,47,51,51,51,58,58,58,61,61,61,61,61,61,61,61,65,74,76,76,76,82,83,83,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L12
AS,repo,README.md,-,-,-,-,-,-,16,16,16,16,21,21,21,21,21,21,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,33,33,33,33,33,33,33,33,33,37,37,38,38,38,38,39,38,43,43,43,43,47,47,47,48,49,53,53,53,60,60,60,63,63,63,63,63,63,63,63,67,76,78,78,78,84,85,85,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L11
BASE,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L210
BASIS,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,36,36,36,36,37,36,41,41,41,41,45,45,45,46,47,51,51,51,58,58,58,61,61,61,61,61,61,61,61,65,74,76,76,76,82,83,83,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L11
BUILD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L199
CONDITIONS,repo,README.md,-,-,-,-,-,-,16,16,16,16,21,21,21,21,21,21,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,33,33,33,33,33,33,33,33,33,37,37,38,38,38,38,39,38,43,43,43,43,47,47,47,48,49,53,53,53,60,60,60,63,63,63,63,63,63,63,63,67,76,78,78,78,84,85,85,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L12
CPU,repo,README.md,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,14,14,14,14,14,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/examples/qemu-armv8M-32/platform/platform.h#L58
CTRL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/examples/qemu-armv8M-32/platform/uart/uart.h#L27
FILE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L209
