code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
#,repo,README.md,-,-,-,-,42,42,42,42,42,42,42,42,42,42,42,42,42,42,47,55,56,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/read/read.ct#L1
$,repo,README.md,-,-,-,-,77,77,77,77,77,79,79,79,79,79,79,79,79,79,83,93,94,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/update/update.golden#L1
${VAR},repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L104
.Run(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest_test.go#L40
.ct,repo,README.md,-,-,-,-,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,15,16,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest_test.go#L164
<,repo,README.md,-,-,-,-,12,12,11,11,11,11,11,9,9,9,9,9,9,9,9,10,10,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/good/good.ct#L43
"Bool(""update"", false, ""update test files with results"")",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L32
Commands,repo,README.md,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest_test.go#L77
DIR,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L91
FAIL,repo,README.md,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,22,23,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/read/read.ct#L15
FILE,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L92
ROOTDIR,repo,README.md,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/good/good.ct#L27
"Read(""testdata"")",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L26
Run(*update),repo,README.md,1,1,1,1,1,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/ee144428bf77ebbb3bd9b4d101e03fdb78d70bc7/cmdtest.go#L34
"Run(t, *update)",repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L34
Setup,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L110
TestSuite,repo,README.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest_test.go#L79
TestSuite.Run,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L29
VALUE,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L94
VAR,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest.go#L94
cmdtest,repo,README.md,-,-,-,-,10,10,10,10,10,9,9,9,9,9,11,11,11,11,12,12,12,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/bad/bad-fail-3.ct#L2
false,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest_test.go#L145
fecho,repo,README.md,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/good/good.ct#L30
main,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/echo-stdin.go#L17
main(),repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/echo-stdin.go#L28
os.Exit,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/echo-stdin.go#L31
t.Fatal(err),repo,README.md,-,-,-,-,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/cmdtest_test.go#L75
true,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,10,10,10,11,19,20,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/tempFileWindows.go#L67
update,repo,README.md,-,-,-,-,10,10,10,11,10,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/go-cmdtest/blob/9affe746b8c4fa6efcd957d6c63a6bded606fcc2/README.md,https://github.com/google/go-cmdtest/blob/550286c512077398e317a03c062917f74c8d2445/testdata/update/update.golden#L1
