code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,doc_link,source_link
/usr/lib/apt/methods/s3,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,https://github.com/google/apt-golang-s3/blob/cc9c2bab334713ec6885520d1f983844f28052b2/build-deb.sh#L39
APT,repo,README.md,5,5,5,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,https://github.com/google/apt-golang-s3/blob/cc9c2bab334713ec6885520d1f983844f28052b2/method/method.go#L15
AWS,repo,README.md,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,https://github.com/google/apt-golang-s3/blob/cc9c2bab334713ec6885520d1f983844f28052b2/method/method.go#L363
URL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,18,18,18,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,https://github.com/google/apt-golang-s3/blob/cc9c2bab334713ec6885520d1f983844f28052b2/method/method.go#L225
apt,repo,README.md,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,37,37,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,https://github.com/google/apt-golang-s3/blob/cc9c2bab334713ec6885520d1f983844f28052b2/method/method_test.go#L32
apt-golang-s3,repo,README.md,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,https://github.com/google/apt-golang-s3/blob/cc9c2bab334713ec6885520d1f983844f28052b2/method/method.go#L50
build-deb.sh,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,code_element is a file name
us-east-1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://github.com/google/apt-golang-s3/blob/f9c4417bfa86d1d6aab6d7b3d8dacd6a06595dad/README.md,https://github.com/google/apt-golang-s3/blob/cc9c2bab334713ec6885520d1f983844f28052b2/method/helpers_test.go#L15
