code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
BQ,repo,README.md,10,10,10,10,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/views.js#L19
BigQuery,repo,README.md,7,7,7,7,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/main.js#L105
CSV,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/DATA.md#L84
ID,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/DATA.md#L77
URL,repo,README.md,4,4,4,4,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/views.js#L253
bqDatasetID,repo,README.md,5,5,5,6,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/views.js#L25
cityTranslationsSheet,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/config.js#L46
classesSheet,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/config.js#L88
cloudProjectID,repo,README.md,6,6,6,6,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/views.js#L25
cloudStorageDest,repo,README.md,5,5,5,6,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/main.js#L34
countryLanguagesSheet,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/config.js#L68
countryTranslationsSheet,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/config.js#L58
initSheet,repo,README.md,2,2,2,2,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/main.js#L38
landingPagesSheet,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/config.js#L79
routesSheet,repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/config.js#L34
run(),repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/main.js#L31
setup(),repo,README.md,1,1,1,1,https://github.com/google/sa360-flightsfeed/blob/0ded3285f5d91f4b5b536029341c2c8e4f018daa/README.md,https://github.com/google/sa360-flightsfeed/blob/3d0da03541e978c2e2d098d214fe6875f4e8137b/main.js#L19
