code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
ANY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,40,40,40,40,40,42,42,42,42,42,70,70,70,73,73,73,73,73,73,73,44,44,44,45,45,45,45,45,45,45,48,48,48,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/main/java/com/google/modernstorage/storage/SharedFileSystem.kt#L12
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,11,11,11,11,11,21,22,22,40,36,36,40,40,40,40,40,40,40,40,40,40,40,40,40,40,38,38,38,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/androidTest/assets/sample.txt#L19
AS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,40,40,40,40,40,42,42,42,42,42,70,70,70,73,73,73,73,73,73,73,44,44,44,45,45,45,45,45,45,45,48,48,48,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/main/java/com/google/modernstorage/storage/SharedFileSystem.kt#L11
BASIS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,40,40,40,40,40,42,42,42,42,42,70,70,70,73,73,73,73,73,73,73,44,44,44,45,45,45,45,45,45,45,48,48,48,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/main/java/com/google/modernstorage/storage/SharedFileSystem.kt#L11
CONDITIONS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,44,44,44,44,42,42,42,42,42,44,44,44,44,44,72,72,72,75,75,75,75,75,75,75,46,46,46,47,47,47,47,47,47,47,50,50,50,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/main/java/com/google/modernstorage/storage/SharedFileSystem.kt#L12
CONTRIBUTING,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/generate_docs.sh#L35
DevRel,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/docs/README.md#L8
IS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,40,40,40,40,40,42,42,42,42,42,70,70,70,73,73,73,73,73,73,73,44,44,44,45,45,45,45,45,45,45,48,48,48,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/main/java/com/google/modernstorage/storage/SharedFileSystem.kt#L11
KIND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,40,40,40,40,40,42,42,42,42,42,70,70,70,73,73,73,73,73,73,73,44,44,44,45,45,45,45,45,45,45,48,48,48,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/main/java/com/google/modernstorage/storage/SharedFileSystem.kt#L12
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,40,40,40,40,41,43,43,43,43,43,71,71,71,74,74,74,74,74,74,74,45,45,45,46,46,46,46,46,46,46,49,49,49,https://github.com/google/modernstorage/blob/e62cda539ca75884dd49df3bcf8629751f0a91e6/README.md,https://github.com/google/modernstorage/blob/74ffdae8638bf36930dcda3ad650da8a8c868522/storage/src/main/java/com/google/modernstorage/storage/SharedFileSystem.kt#L8
