code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
CI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/README.md,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/.github/workflows/test-package.yml#L1
HTTP,repo,README.md,-,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/README.md,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/test/http_basic_test.dart#L215
RawSynchronousSocket,repo,README.md,-,-,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/README.md,https://github.com/google/sync_http.dart/blob/422a41d10507516203c6f85e5e2b150128f37dae/lib/sync_http.dart#L14
SDK,repo,README.md,-,-,0,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/README.md,https://github.com/google/sync_http.dart/blob/422a41d10507516203c6f85e5e2b150128f37dae/.travis.yml#L10
dart:io,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/README.md,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/test/http_basic_test.dart#L6
sync_http,repo,README.md,-,-,-,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/README.md,https://github.com/google/sync_http.dart/blob/39509d69fd5a9c3da46eab48fcafdf62e6ad4580/test/http_basic_test.dart#L9
