code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
ANY,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L147
AS,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L146
AsyncStorage,repo,README.md,-,-,15,15,15,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/7ac3588208a76367ec0047388447086be4011fa9/pubspec.yaml#L18
AsyncStorageReader,repo,README.md,-,-,12,12,12,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/7ac3588208a76367ec0047388447086be4011fa9/test/flutter_async_storage_test.dart#L20
BASIS,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L146
CONDITIONS,repo,README.md,4,4,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L6
GitHub,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/docs/contributing.md#L21
IS,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L146
JSON,repo,README.md,-,-,1,1,1,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/7ac3588208a76367ec0047388447086be4011fa9/lib/flutter_async_storage.dart#L138
KIND,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L147
LICENSE,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L196
OF,repo,README.md,3,3,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L147
OR,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L147
README,repo,README.md,1,1,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/.github/PULL_REQUEST_TEMPLATE.md#L6
RKStorage,repo,README.md,-,-,1,1,1,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/7ac3588208a76367ec0047388447086be4011fa9/lib/flutter_async_storage.dart#L53
SQLite,repo,README.md,-,-,2,2,2,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/7ac3588208a76367ec0047388447086be4011fa9/lib/flutter_async_storage.dart#L66
WARRANTIES,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L147
WITHOUT,repo,README.md,2,2,-,-,-,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/843ea63d9e5f2291071b400c8768408fa6621d85/LICENSE#L147
flutter_async_storage,repo,README.md,-,-,4,4,4,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/7ac3588208a76367ec0047388447086be4011fa9/test/flutter_async_storage_test.dart#L15
iOS,repo,README.md,-,-,7,7,7,https://github.com/google/flutter_async_storage/blob/4bfc0945982090989069b5fd3f2279365867403b/README.md,https://github.com/google/flutter_async_storage/blob/7ac3588208a76367ec0047388447086be4011fa9/test/flutter_async_storage_test.dart#L28
