code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
BoringSSL,repo,README.md,.,3,3,3,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/boringssl/LICENSE#L1
ChannelID,repo,README.md,.,5,5,5,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/chromium/chromium.patch#L915
ID,repo,README.md,.,35,35,35,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/chromium/chromium.patch#L352
LD_LIBRARY_PATH,repo,README.md,.,1,1,1,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/chromium/chromium.patch#L635
SDK,repo,README.md,.,4,4,4,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/chromium/chromium.patch#L554
SGX,repo,README.md,.,16,16,16,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/chromium/chromium.patch#L4
afe57cb14d36f70ad4a109fc5e7765d1adc67035,repo,README.md,.,1,1,1,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/boringssl/bssl.patch#L5
boringssl/bssl.patch,repo,README.md,.,1,1,1,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,code_element is a file name
chromium/chromium.patch,repo,README.md,.,1,1,1,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,code_element is a file name
enabled,repo,README.md,.,1,1,1,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/boringssl/bssl.patch#L214
f594a1085b49369c2479e5526dd0ef8b116e9af0,repo,README.md,.,1,1,1,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/README.md,https://github.com/google/channel-id-enclave/blob/5b8561c59d609ed73e70c09a48391b2fccc2a080/chromium/chromium.patch#L5
