code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
gapps_openid,repo,README.md,.,.,.,.,.,.,.,4,4,https://github.com/google/ruby-openid-apps-discovery/blob/d2909a200affe2200dcb0d73ad41812cb5c33255/README.md,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/test_simplesign.rb#L2
$v,wiki,Home.md,.,.,.,.,.,.,.,.,5,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/fixtures/missing-signature.xml#L2
$xrd,wiki,Home.md,.,.,.,.,.,.,.,.,5,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/fixtures/missing-signature.xml#L2
$xrds,wiki,Home.md,.,.,.,.,.,.,.,.,5,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/fixtures/missing-signature.xml#L2
GoogleDiscovery,wiki,Home.md,.,.,.,.,.,.,.,.,3,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/test_discovery.rb#L9
ID,wiki,Home.md,.,.,.,.,.,.,.,.,2,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/lib/gapps_openid.rb#L84
NAMESPACES,wiki,Home.md,.,.,.,.,.,.,.,.,5,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/lib/gapps_openid.rb#L77
OpenID,wiki,Home.md,.,.,.,.,.,.,.,.,53,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/test_simplesign.rb#L10
URI,wiki,Home.md,.,.,.,.,.,.,.,.,11,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/test_discovery.rb#L15
URITemplate,wiki,Home.md,.,.,.,.,.,.,.,.,10,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/fixtures/missing-signature.xml#L16
XRDS,wiki,Home.md,.,.,.,.,.,.,.,.,15,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/test/test_discovery.rb#L27
discover_site(domain),wiki,Home.md,.,.,.,.,.,.,.,.,2,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/lib/gapps_openid.rb#L92
"discover_user(domain, claimed_id)",wiki,Home.md,.,.,.,.,.,.,.,.,1,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/lib/gapps_openid.rb#L107
fetch_host_meta(domain),wiki,Home.md,.,.,.,.,.,.,.,.,3,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/lib/gapps_openid.rb#L109
fetch_url(url),wiki,Home.md,.,.,.,.,.,.,.,.,2,https://github.com/google/ruby-openid-apps-discovery/wiki/Home/53eeb8ea750686fc76a7bad3d947d188280b5389,https://github.com/google/ruby-openid-apps-discovery/blob/4e8fbaad8903567c9ca2975adf98ee6657e7ece7/lib/gapps_openid.rb#L170
