code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
$llpatch,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch-merge#L401
CLANG,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch-merge#L479
CONFIG,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/Makefile.rules#L38
CPU,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch-merge#L92
ELF,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/thin_archive.cc#L134
FILE,repo,README.md,6,6,6,6,8,8,8,8,8,8,8,8,8,8,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch#L121
IN_FILE,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/update-patch#L79
IR,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,46,46,46,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/third_party/llvm-diff/DifferenceEngine.cpp#L20
KERNEL_RELEASE,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch-merge#L522
LIVEPATCH,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,3,3,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/fixup_command.cc#L137
