code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,doc_link,source_link
--help,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/4e7f20f238c0f204e332a8a25dac1c0d529ed9ef/notebooks/adding_magic.ipynb#L199
.init(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/4e7f20f238c0f204e332a8a25dac1c0d529ed9ef/picatrix/notebook_init.py#L20
ANY,repo,README.md,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/8e7edc49d55b25686827bb19d7d9e00e79fa3066/LICENSE#L147
AS,repo,README.md,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/8e7edc49d55b25686827bb19d7d9e00e79fa3066/LICENSE#L146
BASIS,repo,README.md,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/8e7edc49d55b25686827bb19d7d9e00e79fa3066/LICENSE#L146
CONDITIONS,repo,README.md,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/8e7edc49d55b25686827bb19d7d9e00e79fa3066/LICENSE#L6
DataFrame,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,62,62,60,60,60,61,61,61,58,58,56,56,56,64,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/4e7f20f238c0f204e332a8a25dac1c0d529ed9ef/picatrix/magics/timesketch.py#L62
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/4e7f20f238c0f204e332a8a25dac1c0d529ed9ef/docs/Contributing.md#L28
IS,repo,README.md,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/8e7edc49d55b25686827bb19d7d9e00e79fa3066/LICENSE#L146
KIND,repo,README.md,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/picatrix/blob/62083a7e32dfd03b8892d7cd3b9bcd0271118f70/README.md,https://github.com/google/picatrix/blob/8e7edc49d55b25686827bb19d7d9e00e79fa3066/LICENSE#L147
