code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
$HOME,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/util.sh#L58
$HOME/bin/google_closure_templates,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/util.sh#L62
--appid=,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/app.yaml.base#L8
/static,repo,README.md,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/main.py#L89
/template,repo,README.md,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/templates/soy/helloworld.soy#L19
AppEngine,repo,README.md,16,16,16,16,16,16,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/8443a8f154c23c909ac57a7bbd774b1c9e5d404e/src/base/handlers_test.py#L132
BaseAjaxHandler,repo,README.md,8,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/templates/xssi.tpl#L79
BaseCronHandler,repo,README.md,5,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/main_test.py#L61
BaseHandler,repo,README.md,12,13,13,14,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/main_test.py#L49
BaseTaskHandler,repo,README.md,5,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/main_test.py#L63
GAE,repo,README.md,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/util.sh#L2
GET,repo,README.md,10,10,10,10,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/templates/xssi.tpl#L17
HEAD,repo,README.md,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/base/handlers.py#L66
HTML,repo,README.md,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/templates/xss.tpl#L34
OPTIONS,repo,README.md,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/base/handlers.py#L66
SDK,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/run_tests.py#L23
SoyToJsSrcCompiler,repo,README.md,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/util.sh#L93
URL,repo,README.md,7,7,7,7,7,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a461d1712526b727eebdb8a839a994dbf240e101/templates/xsrf.tpl#L17
XSRF,repo,README.md,31,31,31,31,32,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/templates/xssi.tpl#L83
XSS,repo,README.md,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/templates/xss.tpl#L7
_RequestContainsValidXsrfToken(),repo,README.md,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/base/handlers.py#L71
_SetCommonResponseHeaders(),repo,README.md,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/src/base/handlers.py#L218
closureBuilder,repo,README.md,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crisis-info-hub/blob/d89cb264a9e47855d3edde32551836978872ad10/README.md,https://github.com/google/crisis-info-hub/blob/a5cc4231ce4aa10002dfc8491dbeac026a29027f/Gruntfile.js#L24
