code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
@BundlerClass,repo,README.md,.,6,6,6,6,6,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-api/src/test/java/pub/devrel/bundler/objects/PrivateFieldsNoSetterObject.java#L23
Bundle,repo,README.md,.,31,31,31,31,31,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-compiler/src/main/java/pub/devrel/bundler/Bundler.java#L42
Bundler,repo,README.md,.,14,14,14,14,14,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-compiler/src/main/java/pub/devrel/bundler/BundlerClassProcessor.java#L85
Class,repo,README.md,.,34,34,34,34,34,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-compiler/src/main/java/pub/devrel/bundler/Bundler.java#L349
EasyBundler,repo,README.md,.,14,14,16,16,16,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-compiler/src/main/java/pub/devrel/bundler/BundlerClassProcessor.java#L83
Intent,repo,README.md,.,16,16,16,16,16,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-api/src/main/java/pub/devrel/bundler/EasyBundler.java#L19
MyState,repo,README.md,.,6,6,6,6,6,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-api/src/main/java/pub/devrel/bundler/EasyBundler.java#L33
MyState(),repo,README.md,.,2,2,2,2,2,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-api/src/main/java/pub/devrel/bundler/EasyBundler.java#L37
TODO(samstern),repo,README.md,.,1,1,-,-,-,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/b1c96c139497d57ce531cbf54f701eb858166189/bundler-compiler/src/main/java/pub/devrel/bundler/Bundler.java#L555
compile,repo,README.md,.,-,-,9,9,12,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-compiler/build.gradle#L9
foo,repo,README.md,.,3,3,3,3,3,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-compiler/src/main/java/pub/devrel/bundler/Bundler.java#L75
"putExtra(Intent, Object)",repo,README.md,.,1,1,1,1,1,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/README.md,https://github.com/google/easybundler/blob/326771c08e955829dae7bb6a24231e4155c5ff6d/bundler-api/src/main/java/pub/devrel/bundler/EasyBundler.java#L133
