code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,doc_link,source_link
CMD,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/8312230377b83a331156c113ebc6881931e656ac/R/impact_plot.R#L95
CausalImpact,repo,README.md,.,.,193,193,193,196,196,196,199,199,199,199,199,199,182,180,180,183,183,189,189,189,189,192,192,192,192,203,203,203,227,227,227,227,243,243,255,264,264,264,264,264,264,266,266,265,265,265,265,260,260,260,263,263,265,265,265,265,265,265,266,266,266,266,266,266,266,266,266,266,266,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/8312230377b83a331156c113ebc6881931e656ac/vignettes/CausalImpact.Rmd#L2
GTgZfCltMm8,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/8312230377b83a331156c113ebc6881931e656ac/vignettes/CausalImpact.Rmd#L36
"install_github(""google/CausalImpact"")",repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/5dc4211765922574152db7e073159df9f7ff6f92/vignettes/CausalImpact.Rmd#L42
library(CausalImpact),repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/8312230377b83a331156c113ebc6881931e656ac/vignettes/CausalImpact.Rmd#L78
library(devtools),repo,README.md,.,.,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/5dc4211765922574152db7e073159df9f7ff6f92/vignettes/CausalImpact.Rmd#L41
"packages(""CausalImpact"")",repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/8312230377b83a331156c113ebc6881931e656ac/vignettes/CausalImpact.Rmd#L72
"packages(""devtools"")",repo,README.md,.,.,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/CausalImpact/blob/fbc3b4a5e063b95cea6d5967628538c5b88478eb/README.md,https://github.com/google/CausalImpact/blob/5dc4211765922574152db7e073159df9f7ff6f92/vignettes/CausalImpact.Rmd#L40
