code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
ANY,repo,README.md,148,148,447,447,447,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L12
API,repo,README.md,11,11,57,57,57,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/main/java/com/google/android/jacquard/sdk/dfu/DFUChecker.java#L192
API_KEY,repo,README.md,-,-,-,-,11,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/tag/ConnectedJacquardTagImplTest.java#L84
AS,repo,README.md,136,136,447,447,447,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L11
BASIS,repo,README.md,132,132,447,447,447,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L11
CONDITIONS,repo,README.md,140,140,451,451,451,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L12
IS,repo,README.md,142,142,447,447,447,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L11
JacquardSDKAndroid,repo,README.md,4,4,5,5,5,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/docs/src/orchid/resources/wiki/codelabs.md#L82
KIND,repo,README.md,136,136,447,447,447,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L12
LICENSE,repo,README.md,130,130,449,450,450,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L8
LLC,repo,README.md,131,131,445,445,445,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L2
MAPS_API_KEY,repo,README.md,-,-,-,-,4,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sample/app/src/main/java/com/google/android/jacquard/sample/places/PlacesConfigFragment.java#L138
OF,repo,README.md,162,162,449,449,449,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/README.md,https://github.com/google/JacquardSDKAndroid/blob/e39b7a0465486af9bbed8c2180e19e3bf94447c9/sdk/sdk/src/test/java/com/google/android/jacquard/sdk/util/FragmenterTest.java#L12
