code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,doc_link,source_link
$HOME,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/d46cd17d701b89f1db23f9d93ec1062a296f628e/.travis.yml#L68
ARM,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/21fc8ef30415a635e7351ffa0e5d5367943d4a94/src/crc32c_config.h.in#L21
CRC,repo,README.md,0,0,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/21fc8ef30415a635e7351ffa0e5d5367943d4a94/src/crc32c_sse42.cc#L11
CRC32C,repo,README.md,11,33,48,48,48,40,42,42,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,49,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,52,52,52,52,52,52,53,53,53,53,53,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/21fc8ef30415a635e7351ffa0e5d5367943d4a94/src/crc32c_unittest.cc#L1
CXXFLAGS,repo,README.md,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/08d3c2d481a37b45207a2eade717136f1c9f9839/googletest.mk#L11
DCMAKE_BUILD_TYPE,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/21fc8ef30415a635e7351ffa0e5d5367943d4a94/.github/workflows/build.yml#L82
DCRC32C_USE_GLOG,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/21fc8ef30415a635e7351ffa0e5d5367943d4a94/.github/workflows/build.yml#L85
HAVE_SSE42,repo,README.md,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/08d3c2d481a37b45207a2eade717136f1c9f9839/crc32c/crc32c_sse42_test.cc#L3
build/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/21fc8ef30415a635e7351ffa0e5d5367943d4a94/.gitignore#L8
iSCSI,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crc32c/blob/bbbb93ab5d549434c2e23b494d23854a49c7da41/README.md,https://github.com/google/crc32c/blob/21fc8ef30415a635e7351ffa0e5d5367943d4a94/src/crc32c_sse42.cc#L11
