code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,doc_link,source_link
-c,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/cdff0d42c8c964e3297cab602ed4df81a6d671a9/deploy/deploy.sh#L35
-d,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/cdff0d42c8c964e3297cab602ed4df81a6d671a9/deploy/deploy.sh#L175
2GB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,0,0,0,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/cdff0d42c8c964e3297cab602ed4df81a6d671a9/cfs/reporting_data_extractor/deploy.sh#L20
AND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,-,-,-,-,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/40dc05f5e16418de6253b7b9df447e7f21a01eee/LICENSE#L6
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,25,26,26,26,28,29,29,29,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/64e305877f69e8583d3a833c58b4b36fb6928f5e/terraform/main.tf#L19
AS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,29,29,29,29,-,-,-,-,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/40dc05f5e16418de6253b7b9df447e7f21a01eee/deploy/utils/delete_sharded_tables.sh#L13
BQ,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,-,-,-,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/cdff0d42c8c964e3297cab602ed4df81a6d671a9/deploy/deploy.sh#L2
BQ_GCP_BROAD_REGION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,3,3,3,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/64e305877f69e8583d3a833c58b4b36fb6928f5e/terraform/variables.tf#L52
BQ_REPORTING_DATASET,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,17,17,17,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/64e305877f69e8583d3a833c58b4b36fb6928f5e/terraform/variables.tf#L42
BQ_REPORTING_TABLE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,16,16,16,https://github.com/google/centimani/blob/132e0662a2eadce91088f333a20e70a9b1a8cf82/README.md,https://github.com/google/centimani/blob/64e305877f69e8583d3a833c58b4b36fb6928f5e/terraform/variables.tf#L47
